"","Code","SampleID","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number"
"105",3175,"J512",0.599254511470195,"D_CON_040_(2nd sampling)","D","CON","040","02"
"106",3176,"J515",0.586384055897313,"E_CON_047_(1st sampling)","E","CON","047","01"
"107",3177,"J518",0.57136255044031,"E_CON_048_(1st sampling)","E","CON","048","01"
"108",3178,"J521",0.56567745939105,"E_CON_048_(2nd sampling)","E","CON","048","02"
"109",3179,"J524",0.539054760904722,"E_CON_048_(3rd sampling)","E","CON","048","03"
"110",3180,"J527",0.476687816163725,"F_UV_053_(1st sampling)","F","UV","053","01"
"111",3181,"J530",0.492544728725466,"F_UV_053_(2nd sampling)","F","UV","053","02"
"112",3182,"J533",0.55393268844089,"F_UV_054_(1st sampling)","F","UV","054","01"
"113",3183,"J536",0.499081362842387,"F_UV_054_(2nd sampling)","F","UV","054","02"
"114",3184,"J539",0.487613807809018,"F_UV_054_(3rd sampling)","F","UV","054","03"
"115",3185,"J542",0.451145757179168,"F_UV_055_(1st sampling)","F","UV","055","01"
"116",3186,"J609",0.435375409119112,"F_UV_055_(2nd sampling)","F","UV","055","02"
"117",3187,"J612",0.559820212477843,"F_CON_056_(1st sampling)","F","CON","056","01"
"118",3188,"J615",0.36492146060159,"F_CON_056_(2nd sampling)","F","CON","056","02"
"119",3189,"J618",0.46659447059305,"F_CON_057_(1st sampling)","F","CON","057","01"
"120",3190,"J621",0.441519991737786,"F_CON_057_(2nd sampling)","F","CON","057","02"
"121",3201,"J624",0.569359295881332,"F_CON_059_(1st sampling)","F","CON","059","01"
"122",3202,"J627",0.51238139715179,"F_CON_059_(2nd sampling)","F","CON","059","02"
"123",3203,"J336",0.567036767550213,"A_UV_002_(1st sampling)","A","UV","002","01"
"124",3204,"J339",0.562969011069293,"B_UV_012_(1st sampling)","B","UV","012","01"
"125",3205,"J342",0.49070585791622,"B_CON_017_(1st sampling)","B","CON","017","01"
"126",3206,"J345",0.40996688382298,"B_CON_020_(1st sampling)","B","CON","020","01"
"127",3207,"J348",0.541574524998481,"C_UV_023_(1st sampling)","C","UV","023","01"
"128",3208,"J351",0.511593589793771,"C_UV_025_(1st sampling)","C","UV","025","01"
"129",3209,"J354",0.555077133697409,"C_CON_027_(1st sampling)","C","CON","027","01"
"130",3210,"J357",0.540024008211683,"D_CON_039_(1st sampling)","D","CON","039","01"
"131",3211,"J359",0.520120080859691,"E_UV_043_(1st sampling)","E","UV","043","01"
"132",3212,"J363",0.578132897529336,"E_CON_049_(1st sampling)","E","CON","049","01"
"133",3213,"J366",0.344903800946331,"F_UV_052_(1st sampling)","F","UV","052","01"
"134",3214,"J369",0.510792472008795,"F_CON_060_(1st sampling)","F","CON","060","01"
"135",3215,"J372",0.510796543757434,"A_UV_001_(1st sampling)","A","UV","001","01"
"136",3216,"J375",0.528551119938388,"A_UV_001_(2nd sampling)","A","UV","001","02"
"137",3227,"J378",0.629814823691273,"A_UV_004_(1st sampling)","A","UV","004","01"
"138",3228,"J381",0.545281089272218,"A_UV_004_(2nd sampling)","A","UV","004","02"
"139",3229,"J384",0.541855343965106,"A_CON_006_(1st sampling)","A","CON","006","01"
"140",3230,"J387",0.531306202044613,"A_CON_006_(2nd sampling)","A","CON","006","02"
"141",3231,"J390",0.487113722456864,"B_UV_014_(1st sampling)","B","UV","014","01"
"142",3232,"J393",0.51423705317969,"B_CON_016_(1st sampling)","B","CON","016","01"
"143",3233,"J396",0.50728096899499,"B_CON_016_(2nd sampling)","B","CON","016","02"
"144",3234,"J399",0.514751885427693,"C_CON_028_(1st sampling)","C","CON","028","01"
"145",3235,"J402",0.473578078145208,"C_CON_028_(2nd sampling)","C","CON","028","02"
"146",3236,"J405",0.549158133725016,"C_CON_029_(1st sampling)","C","CON","029","01"
"147",3237,"J408",0.513748874058254,"C_CON_029_(2nd sampling)","C","CON","029","02"
"148",3238,"J411",0.500688158498303,"C_CON_029_(3rd sampling)","C","CON","029","03"
"149",3239,"J414",0.536283099621212,"C_CON_030_(1st sampling)","C","CON","030","01"
"150",3240,"J417",0.518739775206935,"C_CON_030_(2nd sampling)","C","CON","030","02"
"151",3241,"J420",0.550428760175586,"D_UV_031_(1st sampling)","D","UV","031","01"
"152",3242,"J423",0.55480208196978,"D_UV_031_(2nd sampling)","D","UV","031","02"
"153",3253,"J426",0.508296767424511,"D_UV_031_(3rd sampling)","D","UV","031","03"
"154",3254,"J429",0.503859249271548,"D_UV_032_(1st sampling)","D","UV","032","01"
"155",3255,"J432",0.485076782841895,"D_UV_032_(2nd sampling)","D","UV","032","02"
"156",3256,"J435",0.53329717434664,"D_UV_033_(1st sampling)","D","UV","033","01"
"157",3257,"J438",0.496932107117226,"D_UV_033_(2nd sampling)","D","UV","033","02"
"158",3258,"J441",0.556922702375767,"D_UV_034_(1st sampling)","D","UV","034","01"
"159",3259,"J444",0.562772938199383,"D_UV_034_(2nd sampling)","D","UV","034","02"
"160",3260,"J447",0.473027540730269,"D_UV_035_(1st sampling)","D","UV","035","01"
"161",3261,"J450",0.406168780534206,"D_UV_035_(2nd sampling)","D","UV","035","02"
"162",3262,"J453",0.503700958598095,"D_CON_036_(1st sampling)","D","CON","036","01"
"163",3263,"J456",0.502986753691362,"D_CON_036_(2nd sampling)","D","CON","036","02"
