Date,Code,SampleID,i161,i196,Ratio,nGrains,calibrated,CoreCode,Section,Depth,calBatch,Time
2024-07-01T00:00:00Z,2526,M036,1413722,4049638,0.3490983638537568,100,0.4957892385448152,B-22 66.2-69.1,B-22,66.2-69.1,01/07/2024,65 ka BP
2024-07-01T00:00:00Z,2527,M039,1282583,3994110,0.3211185971342802,100,0.4703652958318188,B-22 69.1-72.1,B-22,69.1-72.1,01/07/2024,65 ka BP
2024-07-01T00:00:00Z,2528,M042,1491942,4133142,0.36097041911456224,100,0.5065768357346854,B-22 72.1-75.2,B-22,72.1-75.2,01/07/2024,65 ka BP
2024-07-01T00:00:00Z,2529,M045,1570176,4271233,0.36761656411626337,100,0.5126158857196124,B-22 75.2-78.4,B-22,75.2-78.4,01/07/2024,65 ka BP
2024-07-01T00:00:00Z,2530,M048,1265044,4141577,0.30544983227403477,100,0.45612780113844836,C-02 63.1-78.8,C-02,63.1-78.8,01/07/2024,01 ka BP
2024-07-02T00:00:00Z,2540,M051,1159581,4043206,0.28679740779965207,100,0.38425512958186225,C-02 78.8-92.6,C-02,78.8-92.6,02/07/2024,01 ka BP
2024-07-02T00:00:00Z,2451,M054,1483977,4243090,0.34973969442081126,100,0.44587348925728876,C-02 44.6-63.1,C-02,44.6-63.1,02/07/2024,01 ka BP
2024-07-02T00:00:00Z,2542,M057,1576366,4119490,0.3826604749617064,100,0.47810181468140406,C-13 8.8-21.6,C-13,8.8-21.6,02/07/2024,41 ka BP
2024-07-02T00:00:00Z,2543,M060,1527098,4222045,0.36169628698888806,100,0.45757858706834625,C-13 21.6-36,C-13,21.6-36,02/07/2024,41 ka BP
2024-07-02T00:00:00Z,2544,M063,1141064.406779661,4250858,0.2684315511785294,59,0.3662755800647144,C-08 50.9-71.4,C-08,50.9-71.4,02/07/2024,08 ka BP
2024-07-02T00:00:00Z,2545,M066,1138014,4073532,0.2793678802572313,100,0.37698187459062277,C-08 71.4-92.6,C-08,71.4-92.6,02/07/2024,08 ka BP
2024-07-02T00:00:00Z,2546,M069,1088231,4081489,0.26662597890132744,100,0.36450798616291913,C-17 57.7-61.1,C-17,57.7-61.1,02/07/2024,53 ka BP
2024-07-02T00:00:00Z,2547,M072,996121,4162993,0.23928000839780417,100,0.3377372103202561,C-02 27.6-44.6,C-02,27.6-44.6,02/07/2024,01 ka BP
