Age,ADM[x10^22 Am^2]
74.55,6.36363
74.5,6.42414
74.45,6.50354
74.4,6.59794
74.35,6.70397
74.3,6.81777
74.25,6.93492
74.2,7.05052
74.15,7.15811
74.1,7.25225
74.05,7.32802
74,7.3857
73.95,7.42656
73.9,7.45216
73.85,7.4638
73.8,7.46173
73.75,7.44699
73.7,7.42009
73.65,7.38182
73.6,7.33346
73.55,7.27682
73.5,7.21346
73.45,7.1457
73.4,7.07561
73.35,7.00656
73.3,6.94113
73.25,6.88216
73.2,6.82966
73.15,6.7844
73.1,6.74613
73.05,6.71535
73,6.69052
72.95,6.67035
72.9,6.65277
72.85,6.63751
72.8,6.62613
72.75,6.62147
72.7,6.62561
72.65,6.64061
72.6,6.66518
72.55,6.69647
72.5,6.73268
72.45,6.77121
72.4,6.80871
72.35,6.8413
72.3,6.86561
72.25,6.87828
72.2,6.8788
72.15,6.86665
72.1,6.84156
72.05,6.80406
72,6.7557
71.95,6.69958
71.9,6.63802
71.85,6.57389
71.8,6.51104
71.75,6.45389
71.7,6.4063
71.65,6.3719
71.6,6.35147
71.55,6.34501
71.5,6.35251
71.45,6.37294
71.4,6.40242
71.35,6.43501
71.3,6.46552
71.25,6.49009
71.2,6.51001
71.15,6.52837
71.1,6.54777
71.05,6.57078
71,6.59975
70.95,6.63647
70.9,6.68328
70.85,6.74096
70.8,6.80664
70.75,6.87673
70.7,6.94785
70.65,7.01587
70.6,7.07794
70.55,7.13096
70.5,7.17182
70.45,7.19846
70.4,7.2119
70.35,7.21371
70.3,7.2057
70.25,7.18966
70.2,7.16794
70.15,7.14311
70.1,7.11699
70.05,7.0919
70,7.06604
69.95,7.03785
69.9,7.00578
69.85,6.96777
69.8,6.92432
69.75,6.87518
69.7,6.82061
69.65,6.76113
69.6,6.69802
69.55,6.63233
69.5,6.56535
69.45,6.49889
69.4,6.43449
69.35,6.37449
69.3,6.3207
69.25,6.27518
69.2,6.23871
69.15,6.2113
69.1,6.19371
69.05,6.18595
69,6.18828
68.95,6.20095
68.9,6.2232
68.85,6.25527
68.8,6.29509
68.75,6.34113
68.7,6.3913
68.65,6.44328
68.6,6.49371
68.55,6.53871
68.5,6.57466
68.45,6.59846
68.4,6.6088
68.35,6.60544
68.3,6.58811
68.25,6.5563
68.2,6.51156
68.15,6.45518
68.1,6.38871
68.05,6.31423
68,6.23639
67.95,6.16035
67.9,6.09078
67.85,6.03208
67.8,5.9863
67.75,5.95423
67.7,5.93664
67.65,5.93406
67.6,5.94414
67.55,5.96458
67.5,5.99199
67.45,6.02432
67.4,6.05897
67.35,6.09389
67.3,6.12725
67.25,6.15673
67.2,6.17975
67.15,6.19345
67.1,6.19578
67.05,6.1844
67,6.16164
66.95,6.12958
66.9,6.09078
66.85,6.04811
66.8,6.00466
66.75,5.96406
66.7,5.92966
66.65,5.90406
66.6,5.88725
66.55,5.87845
66.5,5.87742
66.45,5.88285
66.4,5.89371
66.35,5.90768
66.3,5.92345
66.25,5.94001
66.2,5.95733
66.15,5.97673
66.1,5.99871
66.05,6.02432
66,6.05173
65.95,6.07914
65.9,6.10449
65.85,6.12595
65.8,6.14147
65.75,6.14897
65.7,6.1469
65.65,6.13345
65.6,6.10966
65.55,6.07733
65.5,6.03776
65.45,5.99251
65.4,5.94337
65.35,5.8919
65.3,5.83889
65.25,5.78613
65.2,5.73285
65.15,5.6788
65.1,5.6232
65.05,5.56578
65,5.50837
64.95,5.45328
64.9,5.40285
64.85,5.35914
64.8,5.32242
64.75,5.29216
64.7,5.26888
64.65,5.25207
64.6,5.24095
64.55,5.23449
64.5,5.2319
64.45,5.23242
64.4,5.23423
64.35,5.2363
64.3,5.23707
64.25,5.23501
64.2,5.22802
64.15,5.2138
64.1,5.19001
64.05,5.15587
64,5.11397
63.95,5.06768
63.9,5.02113
63.85,4.97716
63.8,4.93759
63.75,4.90345
63.7,4.87578
63.65,4.85535
63.6,4.84164
63.55,4.83363
63.5,4.83026
63.45,4.83104
63.4,4.83776
63.35,4.85276
63.3,4.87811
63.25,4.91561
63.2,4.96423
63.15,5.0219
63.1,5.08707
63.05,5.15768
63,5.23087
62.95,5.30354
62.9,5.37233
62.85,5.43492
62.8,5.48949
62.75,5.53578
62.7,5.57251
62.65,5.59966
62.6,5.61725
62.55,5.62604
62.5,5.62682
62.45,5.62009
62.4,5.60457
62.35,5.57923
62.3,5.54251
62.25,5.49363
62.2,5.43414
62.15,5.36587
62.1,5.29113
62.05,5.21121
62,5.12871
61.95,5.04544
61.9,4.96319
61.85,4.88432
61.8,4.81061
61.75,4.74414
61.7,4.68673
61.65,4.64018
61.6,4.60449
61.55,4.58018
61.5,4.56699
61.45,4.56518
61.4,4.57423
61.35,4.5944
61.3,4.62492
61.25,4.66578
61.2,4.71647
61.15,4.77699
61.1,4.84656
61.05,4.92492
61,5.00897
60.95,5.09638
60.9,5.1838
60.85,5.26914
60.8,5.34983
60.75,5.42432
60.7,5.49026
60.65,5.54664
60.6,5.59294
60.55,5.62914
60.5,5.65526
60.45,5.67233
60.4,5.68268
60.35,5.6894
60.3,5.69587
60.25,5.70518
60.2,5.72018
60.15,5.74371
60.1,5.77914
60.05,5.82828
60,5.88983
59.95,5.96199
59.9,6.04268
59.85,6.13009
59.8,6.22139
59.75,6.31449
59.7,6.4063
