"","Date","Code","SampleID","i161","i196","Ratio","nGrains","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number","calBatch"
"72",2025-02-21,3112,"J365",1601568,5151990,0.310863957422278,150,0.402865673557154,"F_UV_052_(1st sampling)","F","UV","052","01","2025-02-21"
"73",2025-02-24,3123,"J368",3039785,5015194,0.60611513732071,150,0.521999969548839,"F_CON_060_(1st sampling)","F","CON","060","01","2025-02-24"
"74",2025-02-24,3124,"J371",3377854,5230408,0.645810804816756,150,0.541867051956657,"A_UV_001_(1st sampling)","A","UV","001","01","2025-02-24"
"75",2025-02-24,3125,"J374",3290190,5345825,0.615469081011818,150,0.526681477176033,"A_UV_001_(2nd sampling)","A","UV","001","02","2025-02-24"
"76",2025-02-24,3126,"J377",4238151,5323018,0.79619324976921,150,0.617131195754142,"A_UV_004_(1st sampling)","A","UV","004","01","2025-02-24"
"77",2025-02-24,3127,"J380",3265840,5785547,0.564482494049396,150,0.50116346000258,"A_UV_004_(2nd sampling)","A","UV","004","02","2025-02-24"
"78",2025-02-24,3128,"J383",3142169,5428081,0.578872901859792,150,0.508365641900131,"A_CON_006_(1st sampling)","A","CON","006","01","2025-02-24"
"79",2025-02-24,3129,"J386",3190468,5542282,0.575659629012021,150,0.506757447341573,"A_CON_006_(2nd sampling)","A","CON","006","02","2025-02-24"
"80",2025-02-24,3130,"J389",2638114,5517104,0.478170068934716,150,0.457965394048839,"B_UV_014_(1st sampling)","B","UV","014","01","2025-02-24"
"81",2025-02-24,3131,"J392",3515272,5134797,0.6845980474009,150,0.561279481408006,"B_CON_016_(1st sampling)","B","CON","016","01","2025-02-24"
"82",2025-02-24,3132,"J395",3077427,5164889,0.595836038296273,150,0.516855435641783,"B_CON_016_(2nd sampling)","B","CON","016","02","2025-02-24"
"83",2025-02-24,3133,"J398",2783752,5570284,0.499750461556359,150,0.468766054817421,"C_CON_028_(1st sampling)","C","CON","028","01","2025-02-24"
"84",2025-02-24,3134,"J401",2198771,5302890,0.414636358664804,150,0.426167731048651,"C_CON_028_(2nd sampling)","C","CON","028","02","2025-02-24"
"85",2025-02-24,3135,"J404",3099719,5478625,0.565784115539939,150,0.501814901911674,"C_CON_029_(1st sampling)","C","CON","029","01","2025-02-24"
"86",2025-02-24,3136,"J407",2987650,5663060,0.527568134542103,150,0.482688380261541,"C_CON_029_(2nd sampling)","C","CON","029","02","2025-02-24"
"87",2025-02-24,3137,"J410",2937663,5617685,0.522931243029825,150,0.480367686049768,"C_CON_029_(3rd sampling)","C","CON","029","03","2025-02-24"
"88",2025-02-24,3138,"J413",2988490,5555870,0.537897754987068,150,0.487858199376991,"C_CON_030_(1st sampling)","C","CON","030","01","2025-02-24"
"89",2025-02-26,3149,"J416",2627586,5340406,0.492019895116589,150,0.514076740828893,"C_CON_030_(2nd sampling)","C","CON","030","02","2025-02-26"
"90",2025-02-26,3150,"J419",2998553,5240675,0.572169233925019,150,0.56850580950933,"D_UV_031_(1st sampling)","D","UV","031","01","2025-02-26"
"91",2025-02-26,3151,"J422",2675762,4755830,0.56262776423884,150,0.562026238790692,"D_UV_031_(2nd sampling)","D","UV","031","02","2025-02-26"
"92",2025-02-26,3152,"J425",2757646,5267657,0.52350523202251,150,0.535458296688951,"D_UV_031_(3rd sampling)","D","UV","031","03","2025-02-26"
