Date,Code,SampleID,type,std,i161,i196,Ratio,calBatch
2025-02-27T00:00:00Z,3173,J489,polcal,va4.7,7366028,5043885,NA,b
2025-02-27T00:00:00Z,3174,J490,polcal,va4.7,11042249,5277076,NA,b
2025-02-27T00:00:00Z,3175,J512,sample,va4.7,3332768,5120424,NA,b
2025-02-27T00:00:00Z,3176,J515,sample,va4.7,3255221,5178585,NA,b
2025-02-27T00:00:00Z,3177,J518,sample,va4.7,3082614,5115661,NA,b
2025-02-27T00:00:00Z,3178,J521,sample,va4.7,3090288,5213562,NA,b
2025-02-27T00:00:00Z,3179,J524,sample,va4.7,2832504,5181622,NA,b
2025-02-27T00:00:00Z,3180,J527,sample,va4.7,2338884,5331898,NA,b
2025-02-27T00:00:00Z,3181,J530,sample,va4.7,2329864,4998482,NA,b
2025-02-27T00:00:00Z,3182,J533,sample,va4.7,2907674,5079752,NA,b
2025-02-27T00:00:00Z,3183,J536,sample,va4.7,2255425,4724074,NA,b
2025-02-27T00:00:00Z,3184,J539,sample,va4.7,2320341,5070934,NA,b
2025-02-27T00:00:00Z,3185,J542,sample,va4.7,2006253,5086411,NA,b
2025-02-27T00:00:00Z,3186,J609,sample,va4.7,1926299,5246937,NA,b
2025-02-27T00:00:00Z,3187,J612,sample,va4.7,3063897,5259018,NA,b
2025-02-27T00:00:00Z,3188,J615,sample,va4.7,1227770,5008433,NA,b
2025-02-27T00:00:00Z,3189,J618,sample,va4.7,2057962,4886151,NA,b
2025-02-27T00:00:00Z,3190,J621,sample,va4.7,1943817,5145540,NA,b
2025-02-27T00:00:00Z,3191,blk,blk,va4.7,NA,NA,NA,b
2025-02-28T00:00:00Z,3192,blk,blk,va4.7,NA,NA,NA,b
2025-02-28T00:00:00Z,3193,cal4.1,cal,va4.7,1268181,3967442,NA,b
2025-02-28T00:00:00Z,3194,cal4.2,cal,va4.7,3943373,4601161,NA,b
2025-02-28T00:00:00Z,3195,cal4.3,cal,va4.7,8520930,4787629,NA,b
2025-02-28T00:00:00Z,3196,cal4.4,cal,va4.7,10794419,4341716,NA,b
2025-02-28T00:00:00Z,3197,J491,polcal,va4.7,1454602,4939304,NA,b
2025-02-28T00:00:00Z,3198,J492,polcal,va4.7,4538555,5055312,NA,b
2025-02-28T00:00:00Z,3199,J493,polcal,va4.7,8069693,5362686,NA,b
2025-02-28T00:00:00Z,3200,J494,polcal,va4.7,11777051,5413732,NA,b
2025-02-28T00:00:00Z,3201,J624,sample,va4.7,3429336,4979267,NA,b
2025-02-28T00:00:00Z,3202,J627,sample,va4.7,3001155,5073586,NA,b
2025-02-28T00:00:00Z,3203,J336,sample,va4.7,3460584,5053710,NA,b
2025-02-28T00:00:00Z,3204,J339,sample,va4.7,3535655,5216200,NA,b
2025-02-28T00:00:00Z,3205,J342,sample,va4.7,2638233,4757435,NA,b
2025-02-28T00:00:00Z,3206,J345,sample,va4.7,2227493,5344040,NA,b
