Site,SampleID,CoreCode,nGrains
NA,J509,Cal300,300
NA,J510,Cal450,450
2024_Greenhouse,J511,D_CON_040_(2nd sampling),150
2024_Greenhouse,J512,D_CON_040_(2nd sampling),150
2024_Greenhouse,J513,D_CON_040_(2nd sampling),150
2024_Greenhouse,J514,E_CON_047_(1st sampling),150
2024_Greenhouse,J515,E_CON_047_(1st sampling),150
2024_Greenhouse,J516,E_CON_047_(1st sampling),150
2024_Greenhouse,J517,E_CON_048_(1st sampling),150
2024_Greenhouse,J518,E_CON_048_(1st sampling),150
2024_Greenhouse,J519,E_CON_048_(1st sampling),150
2024_Greenhouse,J520,E_CON_048_(2nd sampling),150
2024_Greenhouse,J521,E_CON_048_(2nd sampling),150
2024_Greenhouse,J522,E_CON_048_(2nd sampling),150
2024_Greenhouse,J523,E_CON_048_(3rd sampling),150
2024_Greenhouse,J524,E_CON_048_(3rd sampling),150
2024_Greenhouse,J525,E_CON_048_(3rd sampling),150
2024_Greenhouse,J526,F_UV_053_(1st sampling),150
2024_Greenhouse,J527,F_UV_053_(1st sampling),150
2024_Greenhouse,J528,F_UV_053_(1st sampling),150
2024_Greenhouse,J529,F_UV_053_(2nd sampling),150
2024_Greenhouse,J530,F_UV_053_(2nd sampling),150
2024_Greenhouse,J531,F_UV_053_(2nd sampling),150
2024_Greenhouse,J532,F_UV_054_(1st sampling),150
2024_Greenhouse,J533,F_UV_054_(1st sampling),150
2024_Greenhouse,J534,F_UV_054_(1st sampling),150
2024_Greenhouse,J535,F_UV_054_(2nd sampling),150
2024_Greenhouse,J536,F_UV_054_(2nd sampling),150
2024_Greenhouse,J537,F_UV_054_(2nd sampling),150
2024_Greenhouse,J538,F_UV_054_(3rd sampling),150
2024_Greenhouse,J539,F_UV_054_(3rd sampling),150
2024_Greenhouse,J540,F_UV_054_(3rd sampling),150
2024_Greenhouse,J541,F_UV_055_(1st sampling),150
2024_Greenhouse,J542,F_UV_055_(1st sampling),150
2024_Greenhouse,J543,F_UV_055_(1st sampling),150
2024_Greenhouse,J608,F_UV_055_(2nd sampling),150
2024_Greenhouse,J609,F_UV_055_(2nd sampling),150
2024_Greenhouse,J610,F_UV_055_(2nd sampling),150
2024_Greenhouse,J611,F_CON_056_(1st sampling),150
2024_Greenhouse,J612,F_CON_056_(1st sampling),150
2024_Greenhouse,J613,F_CON_056_(1st sampling),150
2024_Greenhouse,J614,F_CON_056_(2nd sampling),150
2024_Greenhouse,J615,F_CON_056_(2nd sampling),150
2024_Greenhouse,J616,F_CON_056_(2nd sampling),150
2024_Greenhouse,J617,F_CON_057_(1st sampling),150
2024_Greenhouse,J618,F_CON_057_(1st sampling),150
2024_Greenhouse,J619,F_CON_057_(1st sampling),150
2024_Greenhouse,J620,F_CON_057_(2nd sampling),150
2024_Greenhouse,J621,F_CON_057_(2nd sampling),150
2024_Greenhouse,J622,F_CON_057_(2nd sampling),150
2024_Greenhouse,J623,F_CON_059_(1st sampling),150
2024_Greenhouse,J624,F_CON_059_(1st sampling),150
2024_Greenhouse,J625,F_CON_059_(1st sampling),150
2024_Greenhouse,J626,F_CON_059_(2nd sampling),150
2024_Greenhouse,J627,F_CON_059_(2nd sampling),150
2024_Greenhouse,J628,F_CON_059_(2nd sampling),150
2024_Greenhouse,J709,Cal50,50
2024_Greenhouse,J710,Cal150,150
2024_Greenhouse,J711,Cal300,300
2024_Greenhouse,J712,Cal450,450

