Date,Code,SampleID,type,std,i161,i196,Ratio,calBatch
2024-07-01T00:00:00Z,2511,J209,polcal,va4.6,866446,3861619,0.22437376654713995,a
2024-07-01T00:00:00Z,2512,J210,polcal,va4.6,2602348,3981254,0.6536503322822407,a
2024-07-01T00:00:00Z,2513,J211,polcal,va4.6,5236191,3929895,1.3323997206032223,a
2024-07-01T00:00:00Z,2514,J212,polcal,va4.6,7736517,3881705,1.993071858886752,a
2024-07-01T00:00:00Z,2515,M003,sample,va4.6,2090809,4094199,0.5106759588383466,a
2024-07-01T00:00:00Z,2516,M006,sample,va4.6,1966680,4253864,0.4623278976478797,a
2024-07-01T00:00:00Z,2517,M009,sample,va4.6,1611715,4374511,0.36843318030289557,a
2024-07-01T00:00:00Z,2518,M012,sample,va4.6,1033512,4305211,0.24006070782593467,a
2024-07-01T00:00:00Z,2519,M015,sample,va4.6,1063465,4071117,0.2612219201757159,a
2024-07-01T00:00:00Z,2520,M018,sample,va4.6,1122331,4164186,0.26951990136847875,a
2024-07-01T00:00:00Z,2521,M021,sample,va4.6,1793319,4125157,0.4347274540096292,a
2024-07-01T00:00:00Z,2522,M024,sample,va4.6,392581,4113366,0.09544032794553171,a
2024-07-01T00:00:00Z,2523,M027,sample,va4.6,1283083,4267578,0.3006583593785515,a
2024-07-01T00:00:00Z,2524,M030,sample,va4.6,1053678,4106916,0.2565618580949793,a
2024-07-01T00:00:00Z,2525,M033,sample,va4.6,1179793,4131194,0.2855816018323032,a
2024-07-01T00:00:00Z,2526,M036,sample,va4.6,1413722,4049638,0.3490983638537568,a
2024-07-01T00:00:00Z,2527,M039,sample,va4.6,1282583,3994110,0.3211185971342802,a
2024-07-01T00:00:00Z,2528,M042,sample,va4.6,1491942,4133142,0.36097041911456224,a
2024-07-01T00:00:00Z,2529,M045,sample,va4.6,1570176,4271233,0.36761656411626337,a
2024-07-01T00:00:00Z,2530,M048,sample,va4.6,1265044,4141577,0.30544983227403477,a
2024-07-02T00:00:00Z,NA,blk,blk,NA,NA,NA,NA,a
2024-07-02T00:00:00Z,2532,cal4.1,cal,va4.6,1162230,3398238,0.3420095943839131,a
2024-07-02T00:00:00Z,2533,cal4.2,cal,va4.6,3088993,3620644,0.8531612055755827,a
